client_id,visitor_id,visit_id,process_step,date_time,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
4767794,723667132_57324003828,868659974_97660972261_241353,start,2017-04-12 14:13:15,Control,22.0,272.0,46.0,M,2.0,3494732.32,5.0,8.0
3612499,287248957_23323289903,183989404_4708553852_821258,start,2017-03-30 13:02:52,Test,22.0,275.0,59.0,M,2.0,3490121.2,4.0,7.0
2781315,500141128_75753557211,95180647_52298086633_656008,confirm,2017-04-02 20:35:22,,27.0,331.0,64.5,M,3.0,3481206.88,3.0,3.0
3864477,639245590_81878779763,345207157_90801815644_677920,start,2017-04-04 12:23:04,Control,28.0,336.0,80.0,M,5.0,3476006.84,6.0,9.0
4812426,52501536_76830924700,116273982_85765000980_28788,start,2017-03-15 10:15:29,,17.0,206.0,60.5,M,3.0,3463930.58,7.0,7.0
4365422,874200345_24198540987,201838651_58781098679_304417,start,2017-05-03 15:47:39,Test,27.0,327.0,50.0,F,3.0,3459338.21,3.0,6.0
6550009,747490354_2206922187,118790264_88393855362_814927,step_1,2017-04-07 09:36:21,Control,32.0,394.0,68.0,M,3.0,3457298.27,4.0,8.0
1177276,170628700_15398027232,442757814_30469422331_245716,start,2017-04-10 20:21:27,Test,20.0,244.0,61.0,U,5.0,3450821.16,6.0,9.0
5469951,157642772_82307048422,438456345_75851247866_402347,start,2017-03-29 14:29:09,,17.0,204.0,35.0,M,2.0,3447091.3,7.0,7.0
9499259,632193446_37936878838,106162458_13073625157_259055,confirm,2017-03-29 17:13:12,Control,15.0,185.0,64.5,M,2.0,3428511.36,5.0,8.0
3862559,640279728_24993452096,72156468_84585663236_569566,confirm,2017-03-27 14:46:13,Test,25.0,304.0,73.5,M,4.0,3394204.29,6.0,9.0
3104377,642071819_50171252699,869836597_54684062212_455583,step_3,2017-06-14 13:16:31,Test,34.0,417.0,63.0,F,3.0,3377435.0,5.0,8.0
4170232,667411220_40142468866,553062036_65470993434_339907,confirm,2017-04-02 17:42:30,Control,35.0,430.0,70.5,M,4.0,3354141.15,6.0,9.0
2579616,75027712_41754187753,220460744_84580257022_89239,confirm,2017-06-13 22:58:17,Test,31.0,379.0,60.0,M,4.0,3351539.77,2.0,5.0
8115034,254484466_29623097311,263955030_38519879473_568184,step_1,2017-04-02 15:34:43,Control,29.0,350.0,76.5,M,3.0,3301237.67,2.0,6.0
4311537,710417437_16381802191,836363282_96046705062_279410,confirm,2017-04-04 20:02:08,,9.0,119.0,69.5,M,3.0,3244645.61,7.0,7.0
5743376,300745630_36711030388,131348528_22231488950_128767,confirm,2017-04-15 12:08:55,Control,40.0,485.0,66.5,M,3.0,3228350.47,6.0,9.0
5986644,131267556_4730584177,145856423_69000746801_706086,step_3,2017-04-02 16:04:29,Test,18.0,216.0,74.0,M,4.0,3220673.11,6.0,9.0
7918624,150770119_1873771296,246409867_40456606033_781013,confirm,2017-05-15 04:56:56,,5.0,70.0,51.0,M,2.0,3210120.39,7.0,7.0
9893446,366131847_21844493537,920662997_85666842709_923353,step_3,2017-04-12 13:31:20,Test,29.0,353.0,65.0,M,3.0,3193269.83,6.0,9.0
2976295,196489393_50424431295,948696370_23810910643_664637,step_1,2017-04-29 08:13:20,,22.0,267.0,49.5,M,3.0,3191837.41,7.0,7.0
4473931,83956928_85744792726,378800166_90004744013_815269,confirm,2017-03-30 14:11:08,Control,27.0,335.0,65.5,F,3.0,3191769.31,3.0,7.0
8286876,715405325_67098450970,560242498_71814743449_59253,start,2017-04-13 09:55:55,Control,27.0,327.0,57.5,F,3.0,3189564.5,6.0,9.0
4193650,963090285_86381269630,746116439_37736982619_840636,confirm,2017-03-21 21:28:55,Control,28.0,340.0,43.5,M,3.0,3171343.45,6.0,9.0
